title,price,neighborhood,url
3BR Heart of the Annex Univeristy of Toronto,"$3,300",city of toronto,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-3br-heart-of-the-annex/7871329163.html
Beautiful 2 bed legal basement -  available asap,"$1,750",Brampton,https://toronto.craigslist.org/bra/apa/d/brampton-southwest-beautiful-bed-legal/7871337320.html
"1 Bedroom, 1 Bathroom - The Maverick","$2,500",Entertainment District,https://toronto.craigslist.org/tor/apa/d/toronto-bedroom-bathroom-the-maverick/7871337303.html
"1 Bedroom, 1 Bathroom - Concord Canada House","$2,500",Entertainment District,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-bedroom-bathroom/7871334832.html
"1+1 Bedroom, 1 Bathroom - NOBU Residences","$2,600",Entertainment District,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-11-bedroom-bathroom/7871332801.html
4 Bedroom Apt Heart of the Annex Downtown Toronto,"$3,600",city of toronto,https://toronto.craigslist.org/tor/apa/d/central-toronto-bedroom-apt-heart-of/7871328755.html
Individual Rooms for rent heart of the Annex Downtown Toronto women,"$1,000",city of toronto,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-individual-rooms-for/7871327431.html
"420 EGLINTON AVE. E. #201 - RENOVATED 1BED/1BATH, BALCONY, LAUNDRY","$1,850","Toronto, Mount Pleasant East",https://toronto.craigslist.org/tor/apa/d/toronto-420-eglinton-ave-renovated-1bed/7867365150.html
PIER 27: Large 1 Bedroom+Den Corner Condo For Rent Toronto Waterfront,"$2,780",DOWNTOWN TORONTO – FINANCIAL DISTRICT – WATERFRONT,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-pier-27-large/7869553774.html
STUDIO ON RICHMOND: Spacious Bachelor Condo For Rent w/LOCKER,"$2,180",Downtown TORONTO,https://toronto.craigslist.org/tor/apa/d/toronto-studio-on-richmond-spacious/7869553712.html
YORKDALE I CONDO: 2 Bedroom / 2 Bath Condo For Rent Toronto w/PARKING,"$2,000",NORTH YORK – TORONTO,https://toronto.craigslist.org/tor/apa/d/north-york-yorkdale-condo-bedroom-bath/7869553618.html
THE MEMPHIS – 1 plus den FURNISHED CONDO FOR RENT,"$2,650",city of toronto,https://toronto.craigslist.org/tor/apa/d/toronto-the-memphis-plus-den-furnished/7868488044.html
"1 Bedroom, 1 Bathroom - L Tower","$2,700",St Lawrence Market,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-bedroom-bathroom-tower/7871324069.html
"1+1 Bedroom, 1 Bathroom - Festival Tower","$2,800",Entertainment District,https://toronto.craigslist.org/tor/apa/d/toronto-11-bedroom-bathroom-festival/7871321417.html
"1+1 Bedroom, 2 Bathroom - The Charlie Condos","$3,050",Entertainment District,https://toronto.craigslist.org/tor/apa/d/toronto-11-bedroom-bathroom-the-charlie/7871318052.html
"2 bedroom, 2 full bathroom in Midtown","$3,200",city of toronto,https://toronto.craigslist.org/tor/apa/d/central-toronto-bedroom-full-bathroom/7871317533.html
"2 Bedroom, 2 Bathroom - Canary Commons","$3,400",Canary District,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-bedroom-bathroom/7871310597.html
Beautiful 2 bedroom apartment in High Park-Roncesvalles,"$2,100",High Park Swansea,https://toronto.craigslist.org/tor/apa/d/toronto-beautiful-bedroom-apartment-in/7871309473.html
"2+1 Bedroom, 2 Bathroom - NOBU Residences","$3,500",Entertainment District,https://toronto.craigslist.org/tor/apa/d/toronto-21-bedroom-bathroom-nobu/7871307649.html
Furnished Downtown Studios,"$1,400",Toronto,https://toronto.craigslist.org/tor/apa/d/toronto-furnished-downtown-studios/7868759110.html
Furnished 2 Bedroom Condo At Yonge/Eglinton Subway,"$2,800",Toronto,https://toronto.craigslist.org/tor/apa/d/toronto-furnished-bedroom-condo-at/7868759792.html
"2 Bedroom, 2 Bathroom - Festival Tower","$4,050",Entertainment District,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-bedroom-bathroom/7871305087.html
"ARGYLE LOFTS - 183 Dovercourt Road, Toronto - 1 BEDROOM","$2,600",Trinity Bellwoods,https://toronto.craigslist.org/tor/apa/d/toronto-argyle-lofts-dovercourt-road/7871303468.html
Toronto Downtown two bedroom apartment fully furnished,"$2,600",Toronto,https://toronto.craigslist.org/tor/apa/d/toronto-toronto-downtown-two-bedroom/7869344098.html
"145 ISAAC DEVINS BLVD. #6 - TOWNHOUSE, 2BED/2BATH, PARKING, BALCONY","$2,500","Toronto, Humberlea-Pelmo Park",https://toronto.craigslist.org/tor/apa/d/toronto-145-isaac-devins-blvd-townhouse/7871294887.html
"420 EGLINTON AVE. E. #506 - SPACIOUS 1BED+ DEN/1BATH, LAUNDRY","$2,095","Toronto, Mount Pleasant East",https://toronto.craigslist.org/tor/apa/d/toronto-420-eglinton-ave-spacious-1bed/7871272789.html
"68 RIVER ST., - TOWNHOUSE, 2BED+DEN/2BATH, PARKING, ROOFTOP TERRACE","$3,395","Toronto, Regent Park",https://toronto.craigslist.org/tor/apa/d/toronto-68-river-st-townhouse-2bedden/7866210718.html
"2 CHICORA AVE. 2ND FL., 1BR/1BATH, PARKING, PRIVATE DECK, *UTLS INCL*","$2,350","Toronto, Annex",https://toronto.craigslist.org/tor/apa/d/toronto-chicora-ave-2nd-fl-1br-1bath/7865641025.html
"140 SPRINGHURST AVE. #11 - SPACIOUS UPGRADED 2BED/1BATH, LAUNDRY","$2,595","Toronto, King West",https://toronto.craigslist.org/tor/apa/d/toronto-140-springhurst-ave-11-spacious/7866232600.html
"25 MILLER ST. MAIN - BRIGHT 2BED/1BATH, PARKING, LAUNDRY, UTLS INCL!","$2,300","Toronto, Weston-Pellam Park",https://toronto.craigslist.org/tor/apa/d/toronto-25-miller-st-main-bright-2bed/7866243849.html
"82 LIVINGSTONE AVE., UPPER - NEWLY RENOD, 3BR/2BATH, PARKING, LAUNDRY","$3,275","Toronto, Briar Hill - Belgravia",https://toronto.craigslist.org/tor/apa/d/york-82-livingstone-ave-upper-newly/7864866380.html
"420 EGLINTON AVE. E. #308 - BRIGHT 1BED/1BATH, LAUNDRY","$1,950","Toronto, Mount Pleasant East",https://toronto.craigslist.org/tor/apa/d/toronto-420-eglinton-ave-bright-1bed/7864876009.html
"15 CUMMINGS ST. TH2 -  2BED/2BATH, PARKING, LOCKER *ROOFTOP DECK*","$4,400","Toronto, South Riverdale",https://toronto.craigslist.org/tor/apa/d/toronto-15-cummings-st-th2-2bed-2bath/7868039961.html
"3071 TREADWELLS DR. #3 - SPACIOUS TOWNHOUSE 3BED/4BATH, PARKING, YARD","$3,250","Mississauga, Applewood",https://toronto.craigslist.org/mss/apa/d/minesing-3071-treadwells-dr-spacious/7868217320.html
ONE BEDROOM BASEMENT HOUSE WITH SEPRATE SIDE ENTRANCE,$850,Mississauga,https://toronto.craigslist.org/mss/apa/d/mississauga-one-bedroom-basement-house/7871275830.html
"318 RICHMOND ST. W. #4005- UPGRADED 1BED+DEN/1BATH, LOCKER, PARKING","$2,600","Toronto, Waterfront Communites",https://toronto.craigslist.org/tor/apa/d/toronto-318-richmond-st-upgraded/7867650973.html
"318 RICHMOND ST. W. #1005-  MULTI-LEVEL 2BED/3BATH, LOCKER, PARKING","$5,300","Toronto, Waterfront Communites",https://toronto.craigslist.org/tor/apa/d/toronto-318-richmond-st-multi-level/7868253644.html
"343 ST. CLAIR AVE.W. UNIT D - SPACIOUS 2BED+ DEN/1BATH, PRIME LOCATION","$2,850","Toronto, Casa Loma",https://toronto.craigslist.org/tor/apa/d/toronto-343-st-clair-avew-unit-spacious/7868304779.html
"5126 DUNDAS ST. W. #202- SPACIOUS 1BR/1BATH, PRIVATE ENTRANCE,","$1,900","Etobicoke, Islington- City Centre West",https://toronto.craigslist.org/tor/apa/d/etobicoke-5126-dundas-st-202-spacious/7868444697.html
"45 CARLTON ST., 1902 - 2BR/2BATH, 2 SOLARIUMS, PARKING *UTLS INCLUDED*","$4,100","Toronto, Church-Yonge Corridor",https://toronto.craigslist.org/tor/apa/d/toronto-45-carlton-st-br-2bath/7868464700.html
